X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
51,792931	-6,237341	1,652195	51,794434	-6,329096	1,69435	51,779102	-6,504759	1,745392	51,850285	-5,015191	-0,288601	51,834217	-6,211827	1,562391
51,786022	-6,242895	1,647686	51,795567	-6,327296	1,694172	51,781075	-6,501154	1,743626	51,84734	-5,016362	-0,268559	51,824333	-6,297518	1,597552
51,78978	-6,250323	1,654449	51,795155	-6,328556	1,693743	51,784584	-6,501564	1,745166	51,849472	-5,015272	-0,288468	51,855568	-6,378493	1,67003
51,784447	-6,254331	1,65003	51,796795	-6,324848	1,692912	51,786789	-6,497143	1,742932	51,846039	-5,017522	-0,262141	51,841183	-6,451981	1,693206
51,786873	-6,258691	1,653562	51,796741	-6,32506	1,691049	51,790638	-6,496045	1,742981	51,847538	-5,015391	-0,286106	51,881302	-6,539176	1,772617
51,782883	-6,261348	1,649277	51,799305	-6,320067	1,689473	51,792305	-6,491838	1,740099	51,845024	-5,017614	-0,265749	51,863373	-6,614168	1,792788
51,785824	-6,265945	1,652218	51,799824	-6,317931	1,686504	51,782772	-6,510946	1,736633	51,846874	-5,015907	-0,286136	51,909309	-6,713254	1,888543
51,781483	-6,268209	1,647269	51,80307	-6,311426	1,684662	51,782501	-6,509498	1,733126	51,845589	-5,017405	-0,27024	51,912392	-6,803077	1,947366
51,782967	-6,269567	1,646866	51,804291	-6,307393	1,680976	51,7789	-6,510978	1,726946	51,847759	-5,016163	-0,287162	51,964264	-6,892766	2,051083
51,781643	-6,269323	1,643342	51,807899	-6,300546	1,678362	51,779854	-6,507882	1,721504	51,846458	-5,017586	-0,269227	51,954727	-6,968261	2,084223
51,782059	-6,268692	1,641213	51,809177	-6,295862	1,673976	51,777515	-6,512464	1,717076	51,848503	-5,015924	-0,287559	52,001167	-7,090624	2,203408
51,780605	-6,268375	1,637252	51,81311	-6,287977	1,671292	51,778042	-6,510611	1,712354	51,846672	-5,016971	-0,268846	51,985611	-7,167832	2,232398
51,781498	-6,268193	1,635064	51,815086	-6,280999	1,666146	51,769642	-6,520842	1,704727	51,84911	-5,01554	-0,288568	52,031158	-7,280667	2,345563
51,785271	-6,263607	1,633963	51,81918	-6,27335	1,662568	51,768414	-6,520017	1,697885	51,846622	-5,016879	-0,268507	52,009285	-7,38626	2,441753
