X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
-47,17281	-4,750097	-0,877355	-47,167942	-4,899184	-0,766619	-47,193638	-5,265073	-0,46005	-47,114307	-3,592597	-2,859766	-47,168991	-4,922313	-0,799805
-47,167427	-4,756503	-0,877238	-47,171383	-4,914618	-0,750202	-47,199574	-5,285734	-0,436823	-47,112667	-3,592142	-2,865712	-47,154469	-5,010718	-0,729341
-47,176697	-4,76626	-0,859324	-47,169754	-4,917365	-0,750205	-47,198551	-5,287139	-0,436967	-47,113865	-3,592287	-2,859394	-47,159489	-5,099284	-0,638268
-47,171047	-4,772371	-0,860409	-47,172379	-4,925501	-0,740505	-47,196812	-5,314565	-0,418063	-47,112644	-3,591826	-2,865642	-47,143902	-5,179479	-0,581149
-47,178452	-4,780009	-0,846512	-47,171276	-4,926835	-0,741291	-47,194912	-5,315491	-0,418823	-47,1152	-3,592113	-2,860146	-47,154991	-5,266236	-0,490079
-47,174427	-4,783693	-0,848173	-47,171658	-4,925891	-0,741626	-47,191956	-5,338704	-0,404409	-47,113438	-3,591982	-2,866357	-47,12289	-5,345096	-0,457221
-47,180149	-4,789306	-0,838041	-47,170071	-4,926102	-0,742642	-47,189789	-5,337644	-0,406792	-47,116425	-3,593114	-2,856346	-47,139336	-5,438993	-0,346171
-47,177544	-4,790903	-0,840134	-47,170155	-4,926136	-0,743042	-47,186451	-5,358039	-0,394617	-47,115341	-3,592452	-2,865406	-47,099174	-5,541446	-0,276496
-47,181835	-4,794715	-0,833124	-47,167652	-4,927072	-0,745509	-47,184814	-5,355707	-0,39703	-47,117439	-3,592495	-2,859715	-47,119961	-5,648592	-0,129552
-47,178707	-4,796983	-0,836117	-47,167194	-4,926699	-0,747064	-47,194778	-5,36667	-0,376119	-47,115944	-3,59172	-2,867028	-47,073307	-5,750908	-0,072184
-47,18346	-4,802573	-0,826635	-47,164021	-4,927548	-0,750163	-47,195049	-5,361782	-0,377763	-47,116909	-3,591353	-2,8623	-47,07254	-5,868075	0,093214
-47,181904	-4,803298	-0,829493	-47,162846	-4,926098	-0,753507	-47,199715	-5,390103	-0,34811	-47,115059	-3,591083	-2,867494	-47,020531	-5,977721	0,179864
-47,183399	-4,804379	-0,827048	-47,159306	-4,927101	-0,757714	-47,199131	-5,396056	-0,340721	-47,116035	-3,591096	-2,861276	-47,032074	-6,067673	0,314948
-47,182945	-4,802996	-0,830242	-47,158142	-4,927175	-0,760139	-47,20166	-5,397514	-0,334232	-47,114323	-3,590661	-2,867507	-46,984211	-6,152171	0,375127
-47,18457	-4,803958	-0,828168	-47,154282	-4,928004	-0,764676	-47,201241	-5,396101	-0,333968	-47,115829	-3,591018	-2,860831	-47,001369	-6,225537	0,495062
-47,183689	-4,804878	-0,830443	-47,152412	-4,927007	-0,76895	-47,21117	-5,433573	-0,281439	-47,113762	-3,590818	-2,867045	-46,954277	-6,300299	0,542496
-47,179817	-4,802585	-0,8369	-47,14846	-4,929726	-0,772525	-47,213013	-5,443945	-0,263684	-47,115883	-3,591426	-2,860665	-46,976307	-6,374711	0,664841
-47,17598	-4,81369	-0,834154	-47,147655	-4,931567	-0,773398	-47,214634	-5,449603	-0,253018	-47,113991	-3,591307	-2,867027	-46,92131	-6,446959	0,695023
-47,172508	-4,812888	-0,839784	-47,143326	-4,933716	-0,777769	-47,215363	-5,45198	-0,246769	-47,115555	-3,591953	-2,859851	-46,935062	-6,514722	0,801437
-47,170944	-4,829588	-0,830505	-47,142467	-4,934561	-0,779487	-47,219353	-5,454195	-0,236734	-47,113819	-3,591617	-2,866702	-46,893867	-6,599875	0,885584
-47,166451	-4,829257	-0,836414	-47,138332	-4,935703	-0,784376	-47,220985	-5,456709	-0,229459	-47,115749	-3,592135	-2,858853	-46,920502	-6,698782	1,054432
-47,165508	-4,848208	-0,824765	-47,138012	-4,938288	-0,783754	-47,223957	-5,459608	-0,220435	-47,114017	-3,591748	-2,866307	-46,905769	-6,788711	1,165905
-47,160488	-4,848173	-0,830794	-47,134735	-4,942056	-0,785437	-47,22541	-5,463925	-0,211395	-47,116058	-3,592483	-2,858039	-46,908302	-6,889966	1,340215
-47,160458	-4,864892	-0,820016	-47,134232	-4,944235	-0,785462	-47,229591	-5,470563	-0,196731	-47,114861	-3,592053	-2,865617	-46,888588	-7,034531	1,629407
-47,154854	-4,86498	-0,825875	-47,131317	-4,946783	-0,787616	-47,231239	-5,475854	-0,186585	-47,116257	-3,592035	-2,860827	-46,879379	-7,183712	1,932788
-47,155983	-4,879288	-0,816778	-47,130932	-4,947985	-0,787974	-47,237408	-5,49259	-0,158165	-47,114212	-3,591732	-2,866334	-46,861317	-7,348885	2,246141
-47,15115	-4,878834	-0,821059	-47,129341	-4,952763	-0,78665	-47,239708	-5,500403	-0,144599	-47,11504	-3,592048	-2,860049	-46,991505	-7,457147	2,571784
-47,153	-4,89519	-0,809268	-47,12944	-4,956065	-0,784724	-47,248554	-5,526033	-0,103099	-47,113388	-3,591576	-2,866005	-47,012283	-7,567349	2,960618
-47,148548	-4,894968	-0,813079	-47,127663	-4,959494	-0,784482	-47,251053	-5,534303	-0,089031	-47,11562	-3,592033	-2,859914	-47,001904	-7,683577	3,123329
-47,150784	-4,909239	-0,802293	-47,127529	-4,963062	-0,782487	-47,256859	-5,54788	-0,06553	-47,113663	-3,591954	-2,866243	-46,999062	-7,7759	3,242244
-47,147133	-4,908724	-0,805154	-47,127354	-4,968174	-0,778859	-47,257332	-5,551279	-0,059826	-47,111023	-3,633021	-2,803745	-46,977093	-7,870739	3,343866
-47,149574	-4,921036	-0,79553	-47,128128	-4,973535	-0,774108	-47,27039	-5,590293	0,002813	-47,102222	-3,693356	-2,724336	-47,011383	-8,010706	3,601601
-47,146652	-4,920366	-0,797653	-47,127609	-4,978238	-0,771002	-47,272224	-5,597153	0,012702	-47,09169	-3,764615	-2,605176	-47,249866	-8,191714	4,188967
-47,149345	-4,934283	-0,785631	-47,128143	-4,982311	-0,767452	-47,278446	-5,602459	0,026496	-47,071793	-3,842646	-2,454086	-47,495724	-8,448434	5,191982
-47,146755	-4,934039	-0,787657	-47,12756	-4,985508	-0,765534	-47,27758	-5,603582	0,027199	-47,047264	-3,925112	-2,262866	-47,508511	-8,732002	6,414531
