X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
3,31663	-76,772377	55,156708	3,404677	-77,012123	55,069096	3,686466	-77,007271	55,62035	3,227454	-67,317245	62,513695	3,825132	-73,222618	59,941471
3,312809	-76,7584	55,184807	3,402221	-76,983368	55,106533	3,712115	-76,950516	55,716347	3,238758	-67,305573	62,511391	3,835863	-73,605904	59,648373
3,315923	-76,731308	55,228973	3,405741	-76,936104	55,164974	3,715167	-76,857864	55,829834	3,224469	-67,324821	62,512444	3,890884	-73,988579	59,36887
3,312528	-76,689194	55,288322	3,405287	-76,876717	55,24136	3,739352	-76,770454	55,960011	3,236181	-67,308792	62,510174	3,939847	-74,375473	59,102879
3,314504	-76,637169	55,361149	3,410257	-76,799858	55,336502	3,740755	-76,652382	56,104168	3,223124	-67,321648	62,511822	4,021177	-74,752289	58,847374
3,311394	-76,573982	55,44733	3,411261	-76,712181	55,446171	3,737072	-76,554382	56,256657	3,233715	-67,308037	62,510014	4,050946	-75,122986	58,603535
3,315969	-76,50386	55,544876	3,417297	-76,610451	55,571293	3,733382	-76,421005	56,419216	3,224273	-67,317688	62,511501	4,137797	-75,515617	58,366154
3,314192	-76,419777	55,652702	3,418621	-76,499191	55,707298	3,766631	-76,309273	56,589729	3,234387	-67,307129	62,509975	4,197505	-75,885887	58,13308
3,315494	-76,328743	55,769257	3,424829	-76,377228	55,856239	3,77901	-76,172005	56,764526	3,224889	-67,318954	62,511246	4,259092	-76,223694	57,902828
3,313099	-76,228416	55,893414	3,428339	-76,248787	56,013538	3,778481	-76,03405	56,941586	3,235259	-67,306671	62,509895	4,249231	-76,5868	57,673573
3,314117	-76,125725	56,023418	3,435073	-76,111221	56,179863	3,779983	-75,885864	57,121422	3,225482	-67,31871	62,511555	4,284922	-76,901497	57,448021
3,313914	-76,017212	56,159115	3,439325	-75,967651	56,35125	3,822628	-75,783829	57,298138	3,237131	-67,305901	62,510246	4,270137	-77,237389	57,225857
3,314441	-75,899658	56,299347	3,448218	-75,820595	56,529091	3,841223	-75,653473	57,469334	3,225633	-67,318573	62,512093	4,244051	-77,591972	56,999481
3,326605	-75,791306	56,443081	3,454005	-75,672203	56,709202	3,850299	-75,523079	57,635624	3,237503	-67,305771	62,51041	4,17907	-77,954956	56,76973
