4.758005	-68.717529	68.753128	6.222038	-69.08062	69.445496	3.921704	-68.632202	68.672363	4.151151	-68.601563	68.591476	4.132357	-68.55822	68.513405
4.758358	-68.717651	68.753319	6.223463	-69.081284	69.44561	3.92111	-68.632561	68.672058	4.151031	-68.601608	68.591545	4.134706	-68.558769	68.514221
4.763595	-68.717232	68.754356	6.224596	-69.080818	69.445511	3.952875	-68.639526	68.682915	4.151349	-68.60154	68.591583	4.137005	-68.559303	68.515091
4.768117	-68.717239	68.755165	6.226034	-69.081444	69.445641	3.988026	-68.646584	68.69326	4.15123	-68.601677	68.591614	4.139479	-68.559822	68.515892
4.771844	-68.717285	68.755882	6.227129	-69.081024	69.445618	4.030327	-68.655281	68.706223	4.151159	-68.601669	68.591682	4.141701	-68.56041	68.516762
4.77574	-68.71756	68.756706	6.228448	-69.081993	69.445755	4.073714	-68.665657	68.721359	4.151138	-68.601707	68.591698	4.144119	-68.56089	68.517525
4.778681	-68.71772	68.757431	6.230453	-69.08136	69.445786	4.125558	-68.679001	68.740799	4.151436	-68.601669	68.591759	4.146351	-68.56147	68.518387
4.781439	-68.717972	68.75808	6.231586	-69.082672	69.445885	4.173882	-68.690704	68.757973	4.151432	-68.601677	68.591774	4.14879	-68.56192	68.519188
4.78623	-68.718819	68.759575	6.236622	-69.084694	69.449806	4.224695	-68.703072	68.776237	4.151363	-68.601776	68.591782	4.151077	-68.562515	68.520042
4.791663	-68.719856	68.7612	6.238652	-69.085335	69.449791	4.275225	-68.715462	68.794624	4.151317	-68.601791	68.59185	4.153636	-68.56295	68.520782
4.796559	-68.720749	68.762817	6.244123	-69.09803	69.454353	4.32951	-68.728386	68.81398	4.151314	-68.601776	68.591873	4.155843	-68.563637	68.521637
4.80127	-68.721695	68.764374	6.243084	-69.09993	69.454826	4.376685	-68.738701	68.833694	4.151329	-68.601791	68.591896	4.158391	-68.564034	68.522446
4.805061	-68.72245	68.765732	6.242695	-69.120872	69.45491	4.424014	-68.749435	68.853897	4.151355	-68.60183	68.591881	4.160523	-68.564766	68.523262
4.808798	-68.723274	68.767059	6.241452	-69.123642	69.454376	4.468888	-68.761246	68.875931	4.151402	-68.601791	68.591896	4.16292	-68.565201	68.524124
